,type,title,fuction,img
10,쌀보리,소강(Sogang),"다수량성, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvoWEsokR2FijkNfwAaA0WTM3fCBe83GYJtr@G9Xgc/x4!
11,밀,아리흑찰(Ariheukchal),건강기능성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv@gDT1714QGbZMlsfXRz/M83fCBe83GYJtr@G9Xgc/x4!
12,겉보리,혜맑은(Hyemalgeun),"가공적성, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvioSFrhvktv6ciZZxfKMm1s3fCBe83GYJtr@G9Xgc/x4!
13,밀,늘찬(Neulchan),다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv5kwQYjRrarPPl@NuCOS7o83fCBe83GYJtr@G9Xgc/x4!
14,마늘,제산(Jesan),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvvylV0qiRBBIcMkEd0UZxZM3fCBe83GYJtr@G9Xgc/x4!
15,팽이버섯,설한(Seolhan),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvostqybx8/hxwOiveJyJglM3fCBe83GYJtr@G9Xgc/x4!
16,콩,까리1호(Kkari1ho),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvC74H1i@YGMsvo5h9y7J7w83fCBe83GYJtr@G9Xgc/x4!
17,장류용콩,중모3015호(Jungmo3015ho),가공적성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvdSrRbbcbmJUbV3qDxRzDSs3fCBe83GYJtr@G9Xgc/x4!
18,"참다래(키위,다래)",녹홍(Nokong),건강기능성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv1KUa4RAQ3gEqa2K9MIGEts3fCBe83GYJtr@G9Xgc/x4!
19,오차드그라스,희망초(Heemangcho),내습해성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvb2mHIlLMrrwY0UnKCdaIk83fCBe83GYJtr@G9Xgc/x4!
20,고추,활화산(Hwalhwasan),"가공적성, 착과력 우수",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv2Rpe8x@s0QoXclNXI9k@t83fCBe83GYJtr@G9Xgc/x4!
21,고추,원기2호(Wongi2ho),건강기능성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv5T/T2iL9kVg/fOCpPE0ntM3fCBe83GYJtr@G9Xgc/x4!
22,트리티케일(라이밀),옹골진(Onggoljin),다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvQLEcIPen1a3@gJxwCOgJJc3fCBe83GYJtr@G9Xgc/x4!
23,이탈리안라이그라스,아이알606(IR 606),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvSS2Deax2FPdTNOjMo2OtH83fCBe83GYJtr@G9Xgc/x4!
24,기타약용작물,평안艾(Pyeonganae),건강 기능성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvY8wV3p@NN0MLOdgEPvfUfs3fCBe83GYJtr@G9Xgc/x4!
25,스탠다드,크레용(Crayon),가시가 없어 재배편의성 높음,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvwhG9x8ymP2U8Sh2J@JIIFM3fCBe83GYJtr@G9Xgc/x4!
26,스프레이,루비블랑(RubyBlanc),가시가 거의 없음,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvSpLAAUwZIEDSBd@jcm/B5c3fCBe83GYJtr@G9Xgc/x4!
27,스프레이,캔디바(CandyBubble),화색우수,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvObPsfL9XRK73N0zC2FtsZ83fCBe83GYJtr@G9Xgc/x4!
28,오차드그라스,희망초2호(Heemangcho2ho),내습성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv1LO@Kyh@jFZkDYNEChtCnc3fCBe83GYJtr@G9Xgc/x4!
29,양파,진주미(Jinjumi),식미,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv/JWy5ps1IaFuBIXGxPbip83fCBe83GYJtr@G9Xgc/x4!
30,옥수수,알찬흑찰(Alchanheukchal),다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvsvoKeYHllavh154hwp8spc3fCBe83GYJtr@G9Xgc/x4!
31,일반벼,미소찬(Misochan),식미,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvSLYlHZun5eytFrnKoO6/LM3fCBe83GYJtr@G9Xgc/x4!
32,옥수수,케이엠7(KM7),다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvFWQqfNiuon5Cg0vrfdu5zM3fCBe83GYJtr@G9Xgc/x4!
33,옥수수,고당옥2호(Godangok2ho),식미,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv7BrN3/BG8u/s@aS5QxJYo83fCBe83GYJtr@G9Xgc/x4!
34,일반벼,제이제이621엠알(JJ621MR),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvF//rX37TMncbj9f8fQMdv83fCBe83GYJtr@G9Xgc/x4!
35,일반벼,월하미(Weolhami),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvt6XTmNj124vjqcl/RrPOEc3fCBe83GYJtr@G9Xgc/x4!
36,팽이버섯,설한(Seolhan),,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvOmpatI2aqb7OHqNrJWntrs3fCBe83GYJtr@G9Xgc/x4!
37,수수,더하메(Thehamae),다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvs2Op6MvTzFeXyhbuwEAd9M3fCBe83GYJtr@G9Xgc/x4!
38,콩나물콩,신바람(Sinbaram),다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvGUmjofgHSkUjYSwvBdG@RM3fCBe83GYJtr@G9Xgc/x4!
39,콩,세움(Seum),다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv@WreGXqR7ncx9wf5h7tGM83fCBe83GYJtr@G9Xgc/x4!
40,사과,하나벨(Hanabell)(Hanabell),미관 우수,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv9r@TBKJaUyi0BSB2PFhcqs3fCBe83GYJtr@G9Xgc/x4!
41,박,원예3303(Wonye3303),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvRRYBQSQD4RYWGoH/Th5MNM3fCBe83GYJtr@G9Xgc/x4!
42,스프레이,코랄비치(Coral Beach),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvcRCGKlJNb7ACqmAwCUy@Sc3fCBe83GYJtr@G9Xgc/x4!
43,상추,진풍흑치마(Jinpung Heukchima),"다수량성, 식미",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvUzyvARG7rrc3tSwAHrVqrs3fCBe83GYJtr@G9Xgc/x4!
44,기타감귤,조은예감(Joeunwegam),무핵,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv@u@A/Y7AgqtGI2926qWbl83fCBe83GYJtr@G9Xgc/x4!
45,감자,아란(Alan),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvrpil7RVA1GOgVHk1IanpfM3fCBe83GYJtr@G9Xgc/x4!
46,논벼,제이제이643더블유디에스(JJ643WDS),담수직파 우수,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvuVjCV0E/xfCjD29QWIJkCs3fCBe83GYJtr@G9Xgc/x4!
47,일반벼,참동진(Chamdongjin),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvAUWiWzaxTCvtf@fh1FPrO83fCBe83GYJtr@G9Xgc/x4!
48,토마토,원예9016(Wonye9016),고온내성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvEcMhrsZv6bFSuh9@@UhfIc3fCBe83GYJtr@G9Xgc/x4!
49,감자,다원(Dawon),"다수량성, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvy4/JcqhMYgwhIgqKFubF4c3fCBe83GYJtr@G9Xgc/x4!
50,논벼,제이제이624엘오엑스(JJ624LOX),저장성 우수,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv1JIMzsAKbrfoRr9aJJDR9c3fCBe83GYJtr@G9Xgc/x4!
51,감자,금나루(Geum naru),,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv7xhxrqoWGHNIjv/fUWzJts3fCBe83GYJtr@G9Xgc/x4!
52,특수미,정다미(Jeongdami),다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvBwvAxDcwEFMEBnh96l3Zos3fCBe83GYJtr@G9Xgc/x4!
53,포도,아그데(Ageude),"가공적성, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv6abM1mFzr/se7BthhEQSJM3fCBe83GYJtr@G9Xgc/x4!
54,지황,한방애(愛)(Hanbangae),"건강기능성, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvF21j/Xdu0D5s5nXNH8Axdc3fCBe83GYJtr@G9Xgc/x4!
55,장류용콩,대장(Daejang),다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv1v@cC@PJXqJZca/ZtbYUH83fCBe83GYJtr@G9Xgc/x4!
56,비모란,에홍(Ehong)(Ehong),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvI8Yfn@oSgCPPO89mxeCLY83fCBe83GYJtr@G9Xgc/x4!
57,콩,새들(Saedeul),가공적성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv6RXnkBCU6S0A5bSgTMw3983fCBe83GYJtr@G9Xgc/x4!
58,들깨,새봄(Saebom),다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvIMGh/ql2E5aLFIlRsaOXCc3fCBe83GYJtr@G9Xgc/x4!
59,스탠다드,크레용(Crayon),,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvsm7d44h8xLjOXjDICmmMAs3fCBe83GYJtr@G9Xgc/x4!
60,화본과류,색동(Saekdong),,https://www.nongsaro.go.kr/ps/img/cmmImg_2020/common/no_img.jpg
61,유채,아름(Areum),다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv6d18hq63RQqJgH4HTb@JD83fCBe83GYJtr@G9Xgc/x4!
62,프리지아,써니스타(Sunny Star),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvhHzgTaPlPlzkz2SO0g2M1s3fCBe83GYJtr@G9Xgc/x4!
63,심비디움,스노우펄(Snow Pearl),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv6qTBa0FcWQYJXwkKj8p2wM3fCBe83GYJtr@G9Xgc/x4!
64,심비디움,화이트팝(White Pop),개화성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvefYC02QPg@nVulcrzlgp0c3fCBe83GYJtr@G9Xgc/x4!
65,칼라,코튼캔디(Cotton Candy),화형 화색,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvnaAYcJYM7GVw9k6sY2Iros3fCBe83GYJtr@G9Xgc/x4!
66,포인세티아,옐로우윙(Yellow Wing)(Yellow Wing),미관 우수,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvyMhuXYiOv6z/aLd6@Klkic3fCBe83GYJtr@G9Xgc/x4!
67,단감,단홍(Danhong),식미,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvQrLKgr3UQ2Sv52GZY0AHhs3fCBe83GYJtr@G9Xgc/x4!
68,포인세티아,슈가볼(Sugar Ball),,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv/pNraXvMHp4yrv7l48glyM3fCBe83GYJtr@G9Xgc/x4!
69,팔레높시스(호접란),퍼플퀸(Purple Queen)(Purple Queen),선명한 화색 ,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvy4hpP6Abkr95I7hVA3PCR83fCBe83GYJtr@G9Xgc/x4!
70,고구마,통채루(Tongchaeru),"건강기능성, 다수량성, 식미",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvqyeQKK28IhmU6nzAMXB6ss3fCBe83GYJtr@G9Xgc/x4!
71,고구마,소담미(Sodammi),식미,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvaS8HsIfwmLHXp8wZNddt/c3fCBe83GYJtr@G9Xgc/x4!
72,밀,아리진흑(Arijinheuk),"가공적성, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv8HiP6e1RUomD2BLrTTL7N83fCBe83GYJtr@G9Xgc/x4!
73,밀,우주(Wooju),다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvLb2EnwyP3F5TI6oFSVnzl83fCBe83GYJtr@G9Xgc/x4!
74,메밀,황금미소(Hwanggeum-Miso),건강기능성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvOu8nb3qCl67SdZ3jJKmKfs3fCBe83GYJtr@G9Xgc/x4!
75,청보리,성연(Cheongyeon),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvPTc54JJB4Xs3b6@TYH7/183fCBe83GYJtr@G9Xgc/x4!
76,겉보리,싹누리(Cheongssag),"가공적성, 다수량성, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvvfWzjhkY6cos7AAKb5u7pM3fCBe83GYJtr@G9Xgc/x4!
77,겉보리,싹이랑(Ssagirang),"다수량성, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvD@gxvef3hf1xBKmICwPpOs3fCBe83GYJtr@G9Xgc/x4!
78,맥주보리,강맥(Gangmaeg),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvllZdhEMRNBtDYmySPennQ83fCBe83GYJtr@G9Xgc/x4!
79,느타리,세나(Sena),다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvlhQFm1XD3sRxAfVu@kSfms3fCBe83GYJtr@G9Xgc/x4!
80,땅콩,흑찬(Heukchan),"식미, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvz1hAw3XUAPXAo647btWvF83fCBe83GYJtr@G9Xgc/x4!
81,총체벼,고우(Gowoo),"다수량성, 매끄러운 잎 및 종실, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvl1rPmcaRsuMsPcPwPO@Y1c3fCBe83GYJtr@G9Xgc/x4!
82,일반고구마,보드레미(Bodeuremi),다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv5yN@jtSkChVQfQneoM0hj83fCBe83GYJtr@G9Xgc/x4!
83,통일형벼,새로미(Saeromi),"가공적성, 다수량성, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvrWu9J7FDqcz2Q3Ls1jXFRs3fCBe83GYJtr@G9Xgc/x4!
84,참깨,강유(KangYou),"가공적성, 다수량성, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvoV2bW3kWjtpuvTbpfOE81s3fCBe83GYJtr@G9Xgc/x4!
85,감자,대백(Daeback),"다수량성, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvsPnuQYASI6RckJPN968AO83fCBe83GYJtr@G9Xgc/x4!
86,백합(나리),옐로우마블(Yellow Marvel),화형 화색,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvKvMH4toU1CLBsNDDxWGvV83fCBe83GYJtr@G9Xgc/x4!
87,상추,참흑치마(신풍흑치마)(Chamheukchima),다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvmW1HnUEGAFAVfZPMuKCers3fCBe83GYJtr@G9Xgc/x4!
